"Abbott","Edwin Abbott"
"Abbott","Eleanor Hallowell"
"Abbott","Jacob"
"Abbott","John S. C."
"Abbott","Thomas Kingsmill"
"Addison","Joseph"
"Aeschylus",""
"Aesop",""
"Agricola","Georg"
"Aho","Juhani"
"Aimard","Gustave"
"AlHydar","Majid"
"Alarcón","Pedro Antonio de"
"Alcott","Louisa May"
"Alger","Horatio, Jr."
"Allen","Grant"
"Altsheler","Joseph A."
"Andersen","H. C."
"Anderson","Poul"
"Anderson","Sherwood"
"Andrews","Henry Cranke"
"Andreyev","Leonid"
"Aneirin",""
"Anthony","A. V. S."
"Anthony","Susan B."
"Apicius",""
"Appleton","Victor"
"Aranda y Sanjuan","Manuel"
"Archer","William"
"Aristophanes",""
"Aristotle",""
"Arnold","Edwin, Sir"
"Arthur","T. S."
"Artsybashev","M."
"Ashton","John"
"Atherton","Gertrude Franklin Horn"
"Atkinson","William Walker"
"Augustine","Saint, Bishop of Hippo"
"Austen","Jane"
"Aveling","Eleanor Marx"
"Bacon","Francis"
"Bagwell","Richard"
"Bailey","Arthur Scott"
"Balagtas","Francisco"
"Baldwin","James"
"Balfour","Francis M."
"Ballantyne","R. M."
"Balzac","Honoré de"
"Bancroft","Hubert Howe"
"Bangs","John Kendrick"
"Barbour","Ralph Henry"
"Baring-Gould","S."
"Barker","Ernest, Sir"
"Baroja","Pío"
"Barr","Amelia E."
"Barrie","J. M."
"Bates","Harry"
"Baudelaire","Charles"
"Baum","L. Frank"
"Bayley","Harold"
"Beardsley","Aubrey"
"Beaumont","Francis"
"Becke","Louis"
"Beckmann","Johann"
"Beerbohm","Max, Sir"
"Beers","Henry A."
"Bein","Alex"
"Bell","Clara"
"Bell","George"
"Belloc","Hilaire"
"Benham","William"
"Bennett","Arnold"
"Benson","Arthur Christopher"
"Benson","E. F."
"Berens","E. M."
"Bergson","Henri"
"Besant","Annie"
"Besant","Walter"
"Beston","Henry"
"Bhide","Shivaram Parashuram"
"Bierce","Ambrose"
"Bindloss","Harold"
"Bjørnson","Bjørnstjerne"
"Blackmore","R. D."
"Blackwood","Algernon"
"Blair","Emma Helen"
"Blake","William"
"Blankensee","Theo von"
"Blasco Ibáñez","Vicente"
"Blavatsky","H. P."
"Boccaccio","Giovanni"
"Boethius",""
"Borrow","George"
"Boswell","James"
"Bourget","Paul"
"Bourne","Edward Gaylord"
"Bower","B. M."
"Boylan","R. Dillon"
"Bradbury","Ray"
"Braddon","M. E."
"Bradley","A. C."
"Braybrooke","Richard Griffin, Baron"
"Brazil","Angela"
"Bridgman","L. J."
"Bright","Mynors"
"Brill","A. A."
"Brinton","Daniel G."
"Brock","C. E."
"Brontë","Charlotte"
"Brontë","Emily"
"Brooke","L. Leslie"
"Browne","Gordon"
"Browne","Hablot Knight"
"Browning","Elizabeth Barrett"
"Browning","Robert"
"Buchan","John"
"Buckley","Theodore Alois"
"Bunge","Carlos O."
"Bunyan","John"
"Burgess","Thornton W."
"Burke","Edmund"
"Burnand","F. C."
"Burnett","Frances Hodgson"
"Burney","Fanny"
"Burroughs","Edgar Rice"
"Burroughs","John"
"Burt","Mary E."
"Burton","Isabel, Lady"
"Burton","Richard Francis, Sir"
"Busch","Wilhelm"
"Butcher","S. H."
"Butler","Samuel"
"Byington","Steven T."
"Byron","George Gordon Byron, Baron"
"Cady","Harrison"
"Cajander","Paavo Emil"
"Caldecott","Randolph"
"Calderón","Sofronio G."
"Camões","Luís de"
"Cannon","Richard"
"Carlyle","Thomas"
"Carroll","Lewis"
"Carter","Nicholas"
"Cary","Henry Francis"
"Casanova","Giacomo"
"Cassiodorus","Senator"
"Castelo Branco","Camilo"
"Castlemon","Harry"
"Cather","Willa"
"Cervantes Saavedra","Miguel de"
"Chambers","Robert W."
"Chambers","Robert"
"Chambers","William"
"Chase","Josephine"
"Chateaubriand","François-René, vicomte de"
"Chatterton","E. Keble"
"Chaucer","Geoffrey"
"Chekhov","Anton Pavlovich"
"Chesterton","G. K."
"Child","Lydia Maria"
"Choate","Joseph Hodges"
"Chopin","Kate"
"Christie","Agatha"
"Chrystal","George W."
"Church of Jesus Christ of Latter-day Saints",""
"Church","Alfred John"
"Churchill","Winston"
"Cicero","Marcus Tullius"
"Clark","William George"
"Clarke","Harry"
"Clausewitz","Carl von"
"Cleland","John"
"Cobb","Irvin S."
"Cohn","Paul V."
"Coleridge","Ernest Hartley"
"Coleridge","Samuel Taylor"
"Collingwood","Harry"
"Collins","Wilkie"
"Collodi","Carlo"
"Common","Thomas"
"Congreve","William"
"Conrad","Joseph"
"Conway","Moncure Daniel"
"Coolidge","Susan"
"Cooper","James Fenimore"
"Cordier","Henri"
"Corelli","Marie"
"Cotton","Charles"
"Coues","Elliott"
"Couperus","Louis"
"Cowper","William"
"Craig","Austin"
"Crane","Stephen"
"Crane","Walter"
"Crawford","F. Marion"
"Crawley","Richard"
"Creighton","Charles"
"Crooke","William"
"Cross","J. W."
"Cruikshank","George"
"Cummings","Ray"
"Curtin","Jeremiah"
"Curtis","George William"
"Curwood","James Oliver"
"D'Annunzio","Gabriele"
"Dakyns","Henry Graham"
"Dante Alighieri",""
"Darwin","Charles"
"Darío","Rubén"
"Daudet","Alphonse"
"Davis","Richard Harding"
"De Amicis","Edmondo"
"De Gubernatis","Angelo"
"De Quincey","Thomas"
"De Sanctis","Francesco"
"De Vere","Gaston du C."
"De Vet","Charles V."
"De la Mare","Walter"
"Defoe","Daniel"
"Del Rey","Lester"
"Della Chiesa","Carol"
"Derbyshire","Charles E."
"Descartes","René"
"Dewey","John"
"Dexter","Timothy"
"Dick","Philip K."
"Dickens","Charles"
"Dickinson","Emily"
"Disraeli","Benjamin, Earl of Beaconsfield"
"Dobson","Austin"
"Dodge","Mary Mapes"
"Dods","Marcus"
"Doré","Gustave"
"Dostoyevsky","Fyodor"
"Douglass","Frederick"
"Doyle","Arthur Conan"
"Drago","Luis María"
"Dreiser","Theodore"
"Dryden","John"
"Du Bois","W. E. B."
