Code,Class,Subclass,Start,End
AC,General Works,"Collections, Series, Collected Works",1,999
AE,General Works,Encyclopedias,1,90
AG,General Works,"Dictionaries, General Reference",2,600
AI,General Works,Indexes,1,21
AM,General Works,"Museums, Collectors",1,501
AP,General Works,Periodicals,1,271
AS,General Works,"Academies, Learned Societies",1,945
AY,General Works,"Yearbooks, Almanacs, Directories",10,2001
AZ,General Works,History of Scholarship and Learning,20,999
B,"Philosophy, Psychology, Religion","Philosophy (General)",1,5802
BC,"Philosophy, Psychology, Religion",Logic,1,199
BD,"Philosophy, Psychology, Religion",Speculative Philosophy,10,701
BF,"Philosophy, Psychology, Religion",Psychology,1,2055
BH,"Philosophy, Psychology, Religion",Aesthetics,1,301
BJ,"Philosophy, Psychology, Religion",Ethics,1,2195
BL,"Philosophy, Psychology, Religion","Religions, Mythology, Rationalism",1,2790
BM,"Philosophy, Psychology, Religion",Judaism,1,990
BP,"Philosophy, Psychology, Religion","Islam, Bahaism, Theosophy",1,610
BQ,"Philosophy, Psychology, Religion",Buddhism,1,9800
BR,"Philosophy, Psychology, Religion",Christianity,1,1725
BS,"Philosophy, Psychology, Religion",The Bible,1,2970
BT,"Philosophy, Psychology, Religion",Doctrinal Theology,10,1480
BV,"Philosophy, Psychology, Religion",Practical Theology,1,5099
BX,"Philosophy, Psychology, Religion",Christian Denominations,1,9999
C,Historical Sciences,"Historical Sciences (General)",1,51
CB,Historical Sciences,History of Civilization,3,482
CC,Historical Sciences,Archaeology,1,960
CD,Historical Sciences,"Diplomatics, Archives, Seals",1,6471
CE,Historical Sciences,"Technical Chronology, Calendar",1,97
CJ,Historical Sciences,Numismatics,1,6661
CN,Historical Sciences,"Inscriptions, Epigraphy",1,1355
CR,Historical Sciences,Heraldry,1,6305
CS,Historical Sciences,Genealogy,1,3090
CT,Historical Sciences,Biography,21,9999
D,World History,"History (General)",1,2027
DA,World History,Great Britain,1,995
DAW,World History,Central Europe,1001,1051
DB,World History,"Austria, Liechtenstein, Hungary, Czechoslovakia",1,3150
DC,World History,"France, Andorra, Monaco",1,947
DD,World History,Germany,1,905
DE,World History,Greco-Roman World,1,100
DF,World History,Greece,10,951
DG,World History,"Italy, Malta",11,999
DH,World History,"Low Countries, Benelux Countries",1,925
DJ,World History,Netherlands,1,500
DJK,World History,"Eastern Europe (General)",1,77
DK,World History,"Russia, Soviet Union, Poland",1,4800
DL,World History,"Northern Europe, Scandinavia",1,1180
DP,World History,"Spain, Portugal",1,900
DQ,World History,Switzerland,1,851
DR,World History,Balkan Peninsula,1,2285
DS,World History,Asia,1,937
DT,World History,Africa,1,3415
DU,World History,"Oceania (South Seas)",1,950
DX,World History,Romanies,101,301
E,American History,"America, United States",11,904
F,American History,"British, Dutch, French, Latin, and Spanish America",1,1170
G,"Geography, Recreation","Geography (General)",1,9980
GA,"Geography, Recreation","Mathematical Geography, Cartography",1,1776
GB,"Geography, Recreation",Physical Geography,3,5030
GC,"Geography, Recreation",Oceanography,1,1581
GE,"Geography, Recreation",Environmental Sciences,1,350
GF,"Geography, Recreation",Human Ecology,1,900
GN,"Geography, Recreation",Anthropology,1,890
GR,"Geography, Recreation",Folklore,1,950
GT,"Geography, Recreation","Manners and Customs (General)",1,7070
GV,"Geography, Recreation","Recreation, Leisure",1,1860
H,Social Sciences,"Social Sciences (General)",1,99
HA,Social Sciences,Statistics,1,4737
HB,Social Sciences,"Economic Theory, Demography",1,3840
HC,Social Sciences,Economic History and Conditions,10,1085
HD,Social Sciences,"Industries, Land Use, Labor",28,9999
HE,Social Sciences,Transportation and Communications,1,9990
HF,Social Sciences,Commerce,1,6182
HG,Social Sciences,Finance,1,9999
HJ,Social Sciences,Public Finance,9,9940
HM,Social Sciences,"Sociology (General)",1,1281
HN,Social Sciences,"Social History, Conditions, Problems, Reform",1,995
HQ,Social Sciences,"The Family, Marriage, Women",1,2044
HS,Social Sciences,"Societies: Secret, Benevolent, Etc.",1,3371
HT,Social Sciences,"Communities, Classes, Races",51,1595
HV,Social Sciences,"Social Pathology, Public Warfare, Criminology",1,9960
HX,Social Sciences,"Socialism, Communism, Anarchism",1,970
J,Political Sciences,General Legislative and Executive Papers,1,981
JA,Political Sciences,"Political Sciences (General)",1,92
JC,Political Sciences,Political Theory,11,605
JF,Political Sciences,"Political Institutions, Administration",20,2112
JJ,Political Sciences,"Political Institutions, Administration (North America)",1000,1019
JK,Political Sciences,"Political Institutions, Administration (United States)",1,9993
JL,Political Sciences,"Political Institutions, Administration (Canada, Etc.)",1,3899
JN,Political Sciences,"Political Institutions, Administration (Europe)",1,9689
JQ,Political Sciences,"Political Institutions, Administration (Asia, Africa, Etc.)",21,6651
JS,Political Sciences,"Local Government, Municipal Government",39,8500
JV,Political Sciences,"Colonies and Colonization, Immigration",1,9480
JX,Political Sciences,International Law,1,6650
JZ,Political Sciences,International Relations,5,6530
K,Law,"Law in General, Jurisprudence",1,7720
KB,Law,"Religious Law in General, Jurisprudence",1,4855
KBM,Law,Jewish Law,1,4855
KBP,Law,Islamic Law,1,4860
KBR,Law,History of Canon Law,2,4090
KBU,Law,"Law of the Roman Catholic Church, The Holy See",2,4820
KD,Law,"United Kingdom, Ireland",51,9500
KDC,Law,Scotland,51,990
KDE,Law,Northern Ireland,21,580
KDG,Law,Isle of Man. Channel Islands,26,540
KDK,Law,"Ireland (Eire)",21,1950
KDZ,Law,"America, North America",1,4999
KE,Law,Canada,1,9450
KEA,Law,Alberta,1,599
KEB,Law,British Columbia,1,599
KEM,Law,Manitoba,1,599
KEN,Law,Northwest Territories,1,7999
KEO,Law,Ontario,1,1199
KEP,Law,Prince Edward Island,1,599
KEQ,Law,Quebec,1,1199
KES,Law,Saskatchewan,1,599
KEY,Law,Yukon Territory,1,599
KEZ,Law,"Canada, Individual Cities",1,9999
KF,Law,United States,1,9827
KFA,Law,"US States (A)",1,4199
KFC,Law,"US States (C)",1,4199
KFD,Law,"US States (D)",1,1799
KFF,Law,Florida,1,599
KFG,Law,Georgia,1,599
KFH,Law,Hawaii,1,599
KFI,Law,"US States (I)",1,4799
KFK,Law,"US States (K)",1,1799
KFL,Law,Louisiana,1,599
KFM,Law,"US States (M)",1,9599
KFN,Law,"US States (N)",1,9199
KFO,Law,"US States (O)",1,2999
KFP,Law,Pennsylvania,1,599
KFR,Law,Rhode Island,1,599
